Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Developer,Rating
PS2,2002.0,Shooter,Electronic Arts,6.83,88.0,8.5,EA LA,T
Wii,2012.0,Misc,Ubisoft,6.76,74.0,7.3,Ubisoft,E10+
X360,2008.0,Shooter,Microsoft Game Studios,6.75,93.0,7.7,Epic Games,M
PS3,2011.0,Action,Sony Computer Entertainment,6.74,92.0,8.3,Naughty Dog,T
PS3,2007.0,Shooter,Activision,6.68,94.0,8.4,Infinity Ward,M
PS3,2009.0,Action,Sony Computer Entertainment,6.66,96.0,8.8,Naughty Dog,T
DS,2005.0,Misc,Nintendo,6.62,74.0,7.4,Nintendo,E
PS3,2010.0,Action,Take-Two Interactive,6.49,95.0,8.8,Rockstar San Diego,M
PS3,2013.0,Sports,Electronic Arts,6.47,86.0,4.3,EA Canada,E
PS3,2012.0,Action,Ubisoft,6.45,85.0,6.9,Ubisoft,M
Wii,2010.0,Platform,Nintendo,6.44,87.0,8.6,Retro Studios,E
XB,2001.0,Shooter,Microsoft Game Studios,6.43,97.0,8.6,Bungie Software,M
PS3,2011.0,Role-Playing,Bethesda Softworks,6.41,92.0,6.4,Bethesda Game Studios,M
GBA,2004.0,Role-Playing,Nintendo,6.41,76.0,9.0,Game Freak,E
PS2,2002.0,Role-Playing,Sony Computer Entertainment,6.4,85.0,8.8,SquareSoft,E
X360,2009.0,Shooter,Microsoft Game Studios,6.34,83.0,7.1,"Bungie Software, Bungie",M
X360,2010.0,Action,Take-Two Interactive,6.32,95.0,9.0,Rockstar San Diego,M
GC,2002.0,Platform,Nintendo,6.31,92.0,8.6,Nintendo,E
PC,2004.0,Role-Playing,Activision,6.29,93.0,7.3,Blizzard Entertainment,T
PS,1999.0,Action,GT Interactive,6.27,87.0,8.1,Reflections Interactive,T
X360,2011.0,Shooter,Microsoft Game Studios,6.21,91.0,7.8,Epic Games,M
X360,2010.0,Sports,Microsoft Game Studios,6.19,73.0,7.4,Rare Ltd.,E10+
X360,2006.0,Shooter,Microsoft Game Studios,6.09,94.0,8.3,Epic Games,M
PS4,2014.0,Sports,Electronic Arts,6.08,82.0,5.7,EA Sports,E
PS2,2001.0,Action,Konami Digital Entertainment,6.05,96.0,8.7,KCEJ,M
PS,1998.0,Action,Konami Digital Entertainment,6.03,94.0,9.4,KCEJ,M
PS3,2008.0,Action,Konami Digital Entertainment,5.99,94.0,8.7,Kojima Productions,M
PS2,2006.0,Role-Playing,Square Enix,5.95,92.0,7.6,Square Enix,T
PS3,2013.0,Action,Sony Computer Entertainment Europe,5.87,95.0,9.1,Naughty Dog,M
PS3,2008.0,Platform,Sony Computer Entertainment,5.82,95.0,6.8,"SCE/WWS, Media Molecule",E
PS,1998.0,Action,Virgin Interactive,5.82,89.0,9.2,Capcom,M
DS,2009.0,Role-Playing,Nintendo,5.78,87.0,8.8,Level 5,E10+
PS,1996.0,Fighting,Sony Computer Entertainment,5.74,89.0,8.9,Namco,T
PS4,2014.0,Shooter,Activision,5.64,76.0,6.1,"Bungie Software, Bungie",T
Wii,2007.0,Action,LucasArts,5.64,80.0,8.9,Traveller's Tales,E10+
DS,2006.0,Simulation,505 Games,5.63,67.0,7.2,Taito Corporation,E
PS3,2009.0,Action,Ubisoft,5.55,91.0,8.6,Ubisoft Montreal,M
X360,2007.0,Adventure,Ubisoft,5.54,81.0,7.7,Ubisoft Montreal,M
X360,2009.0,Racing,Microsoft Game Studios,5.49,92.0,8.0,Turn 10,E
GBA,2001.0,Platform,Nintendo,5.49,84.0,7.8,Nintendo,E
PSP,2008.0,Role-Playing,Capcom,5.48,81.0,8.7,Capcom,T
PS3,2011.0,Action,Warner Bros. Interactive Entertainment,5.48,96.0,8.6,Rocksteady Studios,T
XOne,2014.0,Action,Take-Two Interactive,5.48,97.0,7.9,Rockstar North,M
GBA,2001.0,Racing,Nintendo,5.47,93.0,8.3,Intelligent Systems,E
PS2,2001.0,Platform,Universal Interactive,5.42,66.0,7.1,Traveller's Tales,E
PS3,2008.0,Shooter,Activision,5.39,85.0,7.6,Treyarch,M
PS4,2016.0,Shooter,Sony Computer Entertainment,5.38,93.0,7.9,Naughty Dog,T
PS3,2009.0,Role-Playing,Square Enix,5.33,83.0,7.3,Square Enix,T
PS,2000.0,Role-Playing,SquareSoft,5.3,94.0,8.9,SquareSoft,T
X360,2012.0,Action,Ubisoft,5.29,84.0,6.7,Ubisoft,M
PS2,2003.0,Role-Playing,Electronic Arts,5.29,85.0,6.6,SquareSoft,T
XOne,2014.0,Shooter,Activision,5.27,81.0,5.4,Sledgehammer Games,M
X360,2009.0,Action,Ubisoft,5.26,90.0,8.8,Ubisoft Montreal,M
WiiU,2012.0,Platform,Nintendo,5.22,84.0,8.1,Nintendo,E
PS2,2004.0,Role-Playing,Square Enix,5.21,89.0,8.8,Level 5,T
DS,2007.0,Puzzle,Nintendo,5.19,85.0,8.6,Level 5,E
X360,2012.0,Action,Electronic Arts,5.16,90.0,6.1,Electronic Arts,E
PC,2012.0,Role-Playing,Activision,5.14,88.0,4.0,Blizzard Entertainment,M
PS2,2003.0,Shooter,Electronic Arts,5.13,68.0,7.6,EA LA,T
PS2,2006.0,Misc,RedOctane,5.12,92.0,8.5,Harmonix Music Systems,T
X360,2010.0,Role-Playing,Microsoft Game Studios,5.1,80.0,6.5,Lionhead Studios,M
PS3,2009.0,Action,Capcom,5.09,84.0,7.5,Capcom,M
DS,2007.0,Action,Nintendo,5.08,90.0,8.0,Nintendo,E
PS3,2010.0,Sports,Electronic Arts,5.07,89.0,8.0,EA Sports,E
PS,1996.0,Action,Virgin Interactive,5.05,91.0,9.0,Capcom,M
PSP,2006.0,Action,Take-Two Interactive,5.03,86.0,8.0,Rockstar Leeds,M
PS,1999.0,Sports,Activision,5.02,92.0,9.2,Neversoft Entertainment,T
PS2,2007.0,Misc,Activision,4.98,82.0,8.2,"Neversoft Entertainment, BudCat",T
Wii,2007.0,Shooter,Nintendo,4.98,68.0,7.1,Nintendo,T
X360,2008.0,Role-Playing,Bethesda Softworks,4.93,93.0,8.5,Bethesda Game Studios,M
PS3,2007.0,Action,Sony Computer Entertainment,4.92,88.0,8.1,"Naughty Dog, SCE/WWS",T
PS2,2005.0,Sports,Electronic Arts,4.91,88.0,8.0,EA Sports,E
PC,2010.0,Strategy,Activision,4.84,93.0,8.2,Blizzard Entertainment,T
PS3,2007.0,Adventure,Ubisoft,4.82,81.0,7.3,Ubisoft Montreal,M
PS3,2010.0,Action,Sony Computer Entertainment,4.8,92.0,8.7,SCE Santa Monica,M
PS,1999.0,Racing,Sony Computer Entertainment,4.79,88.0,9.0,Naughty Dog,E
DS,2007.0,Action,LucasArts,4.76,80.0,5.4,TT Fusion,E
PS,2000.0,Action,Atari,4.73,62.0,7.7,Reflections Interactive,T
X360,2011.0,Action,Warner Bros. Interactive Entertainment,4.73,94.0,8.7,Rocksteady Studios,T
PS,2000.0,Sports,Activision,4.68,98.0,7.7,Neversoft Entertainment,T
PS2,2002.0,Action,Electronic Arts,4.67,82.0,8.2,Stormfront Studios,T
PS,1996.0,Action,Eidos Interactive,4.63,91.0,8.6,Core Design Ltd.,T
Wii,2008.0,Simulation,Nintendo,4.62,73.0,7.6,Nintendo,E
PS4,2015.0,Action,Sony Computer Entertainment,4.62,86.0,8.1,Bluepoint Games,T
GC,2002.0,Action,Nintendo,4.6,96.0,8.9,Nintendo,E
Wii,2007.0,Misc,Activision,4.6,86.0,8.4,Vicarious Visions,T
3DS,2013.0,Action,Nintendo,4.59,86.0,8.4,Next Level Games,E
X360,2011.0,Racing,Microsoft Game Studios,4.57,91.0,8.2,Turn 10,E
PS2,2004.0,Sports,Electronic Arts,4.53,91.0,7.9,EA Tiburon,E
X360,2007.0,Misc,Activision,4.53,85.0,7.9,Neversoft Entertainment,T
PS2,2006.0,Sports,Electronic Arts,4.49,84.0,8.2,EA Sports,E
XOne,2015.0,Shooter,Microsoft Game Studios,4.48,84.0,6.4,343 Industries,T
PS2,2002.0,Action,Activision,4.48,76.0,7.9,Treyarch,E
PS4,2016.0,Shooter,Activision,4.46,77.0,3.4,Infinity Ward,M
PS2,2005.0,Action,Sony Computer Entertainment,4.45,94.0,8.9,SCE Santa Monica,M
WiiU,2015.0,Shooter,Nintendo,4.43,81.0,8.5,Nintendo,E10+
WiiU,2012.0,Misc,Nintendo,4.42,77.0,7.9,Nintendo,E10+
PS2,2001.0,Sports,Activision,4.41,97.0,7.5,Neversoft Entertainment,T
PS2,2006.0,Sports,Konami Digital Entertainment,4.39,86.0,8.9,Konami,E
X360,2006.0,Role-Playing,Take-Two Interactive,4.38,94.0,8.7,Bethesda Softworks,M
PS2,2005.0,Racing,Electronic Arts,4.37,82.0,9.1,EA Canada,T
Wii,2010.0,Misc,Ubisoft,4.36,56.0,8.3,"Ubisoft Paris, Ubisoft Montpellier",E10+
PS3,2006.0,Shooter,Sony Computer Entertainment,4.34,86.0,8.1,Insomniac Games,M
PS2,2005.0,Role-Playing,Square Enix,4.33,87.0,9.0,Square Enix,E10+
WiiU,2013.0,Platform,Nintendo,4.32,93.0,9.0,Nintendo,E
X360,2008.0,Role-Playing,Microsoft Game Studios,4.27,89.0,6.5,Lionhead Studios,M
GBA,2001.0,Misc,Namco Bandai Games,4.24,79.0,7.3,Mass Media,E
PS3,2009.0,Action,Eidos Interactive,4.23,91.0,8.9,Rocksteady Studios,T
PS2,2004.0,Action,Konami Digital Entertainment,4.23,91.0,9.3,KCEJ,M
PS3,2011.0,Action,Ubisoft,4.22,80.0,7.5,Ubisoft Montreal,M
XOne,2015.0,Role-Playing,Bethesda Softworks,4.22,88.0,6.2,Bethesda Game Studios,M
X360,2013.0,Sports,Electronic Arts,4.22,84.0,4.2,EA Canada,E
PSP,2006.0,Platform,Sony Computer Entertainment,4.21,85.0,8.7,Ready at Dawn,E10+
PS2,2005.0,Sports,Electronic Arts,4.21,80.0,7.8,EA Canada,E
PS2,2003.0,Misc,Sony Computer Entertainment,4.2,80.0,7.5,"SCEE, Zoe Mode",E
PS3,2007.0,Racing,Sony Computer Entertainment,4.19,80.0,7.1,Polyphony Digital,E
X360,2011.0,Action,Ubisoft,4.19,80.0,7.2,Ubisoft Montreal,M
PS3,2009.0,Fighting,Capcom,4.16,94.0,7.3,Capcom,T
PS2,2002.0,Sports,Electronic Arts,4.14,95.0,7.7,EA Sports,E
PC,1997.0,Shooter,Vivendi Games,4.12,96.0,9.1,Valve Software,M
PC,2007.0,Role-Playing,Activision,4.09,91.0,7.9,Blizzard Entertainment,T
PS4,2016.0,Shooter,Electronic Arts,4.08,88.0,8.4,EA DICE,M
PS2,2007.0,Action,Sony Computer Entertainment,4.07,93.0,8.9,SCE Santa Monica,M
X360,2010.0,Role-Playing,Bethesda Softworks,4.05,84.0,8.1,Obsidian Entertainment,M
X360,2007.0,Racing,Microsoft Game Studios,4.05,90.0,8.3,Turn 10,E
Wii,2007.0,Misc,Take-Two Interactive,4.05,56.0,6.0,Cat Daddy Games,E
PS4,2014.0,Action,Ubisoft,4.05,80.0,6.3,Ubisoft Montreal,M
PS2,2000.0,Fighting,Namco Bandai Games,4.05,85.0,8.5,Namco,T
PS4,2014.0,Shooter,Ubisoft,4.04,85.0,7.7,Ubisoft Montreal,M
PS2,2005.0,Misc,Namco Bandai Games,3.98,61.0,7.5,Digital Eclipse,E10+
X360,2009.0,Shooter,Electronic Arts,3.97,89.0,8.6,Valve Software,M
PS4,2015.0,Role-Playing,Namco Bandai Games,3.97,92.0,9.2,CD Projekt Red Studio,M
PS4,2014.0,Action,Ubisoft,3.96,70.0,4.9,"Ubisoft, Ubisoft Montreal",M
PS4,2015.0,Action,Warner Bros. Interactive Entertainment,3.95,87.0,7.6,Rocksteady Studios,M
Wii,2011.0,Action,Nintendo,3.95,93.0,8.0,Nintendo,E10+
PS3,2008.0,Role-Playing,Bethesda Softworks,3.94,90.0,8.0,Bethesda Game Studios,M
DS,2007.0,Puzzle,Nintendo,3.94,84.0,8.8,Level 5,E10+
Wii,2009.0,Sports,Electronic Arts,3.9,81.0,8.7,EA Canada,E
PS2,2003.0,Sports,Activision,3.9,90.0,8.7,Neversoft Entertainment,T
3DS,2014.0,Role-Playing,Nintendo,3.89,86.0,8.7,Capcom,T
PC,2011.0,Role-Playing,Bethesda Softworks,3.88,94.0,8.1,Bethesda Game Studios,M
PS4,2015.0,Sports,Take-Two Interactive,3.88,87.0,6.7,Visual Concepts,E10+
PS2,2005.0,Fighting,Namco Bandai Games,3.87,88.0,8.6,Namco,T
PS3,2006.0,Racing,Sony Computer Entertainment,3.87,84.0,7.4,Evolution Studios,T
PS2,2004.0,Sports,Konami Digital Entertainment,3.85,91.0,9.1,KCET,E
PS3,2010.0,Sports,Sony Computer Entertainment,3.84,76.0,7.9,"SCEA, Zindagi Games",E10+
PS4,2013.0,Shooter,Activision,3.83,78.0,3.7,Infinity Ward,M
DS,2007.0,Misc,Nintendo,3.83,59.0,4.0,"Nintendo, Namco Bandai Games",E
PS4,2016.0,Shooter,Ubisoft,3.8,80.0,7.0,Massive Entertainment,M
Wii,2007.0,Misc,Nintendo,3.79,68.0,6.9,Nintendo,E
X360,2008.0,Action,Activision,3.76,77.0,7.5,Traveller's Tales,E10+
PC,2002.0,Simulation,Electronic Arts,3.76,79.0,8.0,Maxis,T
PS,2001.0,Action,Electronic Arts,3.73,64.0,7.5,Argonaut Games,E
Wii,2007.0,Platform,Nintendo,3.71,85.0,7.9,Intelligent Systems,E
PS,2000.0,Platform,Sony Computer Entertainment,3.71,91.0,8.8,Insomniac Games,E
PS3,2013.0,Action,Ubisoft,3.71,88.0,8.1,Ubisoft,M
PS2,2004.0,Sports,Electronic Arts,3.7,81.0,7.6,EA Canada,E
PS2,2002.0,Sports,Activision,3.67,94.0,8.5,Neversoft Entertainment,T
DS,2007.0,Simulation,Electronic Arts,3.66,67.0,7.3,TOSE,E
PSP,2005.0,Racing,Take-Two Interactive,3.65,74.0,8.4,Rockstar Leeds,E10+
PS2,2002.0,Shooter,Sony Computer Entertainment,3.65,82.0,7.9,Zipper Interactive,M
PS2,2001.0,Platform,Sony Computer Entertainment,3.64,90.0,8.7,Naughty Dog,E
PS2,2007.0,Sports,Konami Digital Entertainment,3.63,82.0,7.9,Konami,E
PS2,2005.0,Action,Capcom,3.62,96.0,8.9,Capcom,M
Wii,2008.0,Misc,Activision,3.62,86.0,7.6,Vicarious Visions,T
PS3,2009.0,Sports,Electronic Arts,3.62,91.0,7.6,EA Sports,E
PS2,2004.0,Shooter,LucasArts,3.61,82.0,8.7,Pandemic Studios,T
PS2,2001.0,Racing,Electronic Arts,3.61,64.0,7.7,Fox Interactive,T
GC,2001.0,Action,Nintendo,3.6,78.0,8.5,Nintendo,E
PS4,2013.0,Shooter,Electronic Arts,3.59,85.0,6.9,EA DICE,M
PS2,2005.0,Shooter,LucasArts,3.59,84.0,9.0,Pandemic Studios,T
DS,2007.0,Simulation,505 Games,3.58,70.0,8.0,Office Create,E
PS2,2006.0,Action,Take-Two Interactive,3.54,78.0,7.8,Rockstar Leeds,M
PS2,2002.0,Action,Sony Computer Entertainment,3.54,72.0,6.8,Team Soho,M
PS2,2001.0,Shooter,Electronic Arts,3.53,72.0,7.9,EA Redwood Shores,T
X360,2010.0,Sports,Electronic Arts,3.52,88.0,7.5,EA Sports,E
X360,2008.0,Shooter,Electronic Arts,3.51,89.0,7.9,Certain Affinity,M
XOne,2014.0,Action,Ubisoft,3.5,72.0,4.1,"Ubisoft, Ubisoft Montreal",M
X360,2009.0,Action,Capcom,3.5,83.0,7.5,Capcom,M
X360,2010.0,Action,Ubisoft,3.49,89.0,8.3,Ubisoft Montreal,M
PS3,2013.0,Shooter,Electronic Arts,3.49,80.0,5.8,EA DICE,M
X360,2009.0,Action,Eidos Interactive,3.48,92.0,8.7,Rocksteady Studios,T
X360,2013.0,Shooter,Electronic Arts,3.48,79.0,5.6,EA DICE,M
X360,2010.0,Shooter,Electronic Arts,3.47,88.0,8.6,EA DICE,M
DS,2008.0,Misc,Activision,3.46,71.0,8.8,Vicarious Visions,E10+
DS,2006.0,Misc,Nintendo,3.45,83.0,8.4,Agenda,E
X360,2009.0,Shooter,Take-Two Interactive,3.44,84.0,8.2,Gearbox Software,M
PS2,2002.0,Fighting,Namco Bandai Games,3.44,79.0,8.3,Namco,T
PS,1998.0,Action,Take-Two Interactive,3.42,70.0,8.0,DMA Design,T
PS4,2015.0,Action,Konami Digital Entertainment,3.41,93.0,8.2,"Kojima Productions, Moby Dick Studio",M
PS2,2004.0,Action,Activision,3.41,80.0,8.9,Treyarch,T
PS2,2002.0,Sports,Electronic Arts,3.4,88.0,6.7,EA Canada,E
PS3,2011.0,Platform,Sony Computer Entertainment,3.39,91.0,8.4,Media Molecule,E
PS,2000.0,Misc,Sony Computer Entertainment,3.39,68.0,8.2,Eurocom Entertainment Software,E
PS4,2015.0,Action,Ubisoft,3.39,76.0,6.8,Ubisoft Quebec,M
X360,2008.0,Action,Warner Bros. Interactive Entertainment,3.38,76.0,7.9,Traveller's Tales,E10+
XOne,2014.0,Shooter,Activision,3.37,75.0,5.5,"Bungie Software, Bungie",T
PS3,2012.0,Shooter,Ubisoft,3.35,90.0,8.5,Ubisoft Montreal,M
PS2,2002.0,Shooter,Electronic Arts,3.33,77.0,8.5,Eurocom Entertainment Software,T
PS2,2005.0,Action,LucasArts,3.32,60.0,7.2,Double Helix Games,T
DS,2009.0,Action,Nintendo,3.31,87.0,7.8,Nintendo,E10+
PS2,2001.0,Shooter,Take-Two Interactive,3.31,80.0,8.5,Rockstar Toronto,M
X360,2013.0,Action,Ubisoft,3.3,86.0,7.9,Ubisoft,M
PS2,2003.0,Action,Electronic Arts,3.28,85.0,8.7,EA Games,T
XOne,2015.0,Shooter,Microsoft Game Studios,3.28,82.0,7.5,"Splash Damage, The Coalition",M
PS2,2003.0,Action,Activision,3.27,77.0,8.0,"Luxoflux, Inc.",M
DS,2008.0,Puzzle,Nintendo,3.26,86.0,9.2,Level 5,E10+
XOne,2015.0,Sports,Electronic Arts,3.25,84.0,4.4,EA Sports,E
Wii,2008.0,Misc,Nintendo,3.25,63.0,4.6,Nintendo,E
PS4,2015.0,Sports,Electronic Arts,3.24,83.0,5.9,EA Sports,E
PS3,2013.0,Racing,Sony Computer Entertainment,3.23,81.0,7.7,Polyphony Digital,E
XOne,2014.0,Shooter,Microsoft Game Studios,3.23,85.0,7.2,343 Industries,M
WiiU,2015.0,Platform,Nintendo,3.21,88.0,8.7,Nintendo,E
PSP,2008.0,Action,Sony Computer Entertainment,3.18,91.0,8.6,Ready at Dawn,M
PS2,2003.0,Action,Atari,3.18,62.0,8.1,Shiny Entertainment,T
PSP,2007.0,Role-Playing,Square Enix,3.18,83.0,8.0,Square Enix,T
X360,2010.0,Misc,MTV Games,3.17,82.0,7.6,Harmonix Music Systems,T
PS3,2011.0,Adventure,Take-Two Interactive,3.17,89.0,7.7,Team Bondi,M
PS2,2001.0,Simulation,Sony Computer Entertainment Europe,3.17,89.0,9.1,Namco,E
GC,2001.0,Simulation,Nintendo,3.15,87.0,8.9,Nintendo,E
PS2,2007.0,Sports,Electronic Arts,3.14,83.0,6.5,EA Canada,E
PS,2000.0,Action,Activision,3.13,87.0,9.0,Neversoft Entertainment,E
Wii,2012.0,Misc,Nintendo,3.13,73.0,6.8,Nd Cube,E
DS,2005.0,Platform,Sega,3.12,82.0,8.5,"Dimps Corporation, Sonic Team",E
DS,2008.0,Misc,Nintendo,3.11,83.0,9.0,Nintendo,E
PS3,2010.0,Role-Playing,Bethesda Softworks,3.11,82.0,7.8,Obsidian Entertainment,M
DS,2006.0,Misc,Nintendo,3.11,81.0,7.8,Indies Zero,E
PS3,2007.0,Role-Playing,Ubisoft,3.1,93.0,8.0,4J Studios,M
3DS,2013.0,Action,Nintendo,3.1,91.0,8.9,Nintendo,E
PS3,2012.0,Shooter,Capcom,3.1,74.0,5.4,Capcom,M
X360,2010.0,Role-Playing,Electronic Arts,3.1,96.0,8.9,BioWare,M
PS2,2002.0,Fighting,Atari,3.09,67.0,7.9,Dimps Corporation,T
PS2,2001.0,Sports,Electronic Arts,3.08,94.0,7.9,EA Sports,E
PC,2002.0,Simulation,Electronic Arts,3.07,75.0,7.8,Maxis,T
3DS,2015.0,Simulation,Nintendo,3.05,66.0,6.9,Nintendo,E
PC,2014.0,Simulation,Electronic Arts,3.05,70.0,3.9,Maxis,T
X360,2012.0,Shooter,Take-Two Interactive,3.05,89.0,8.2,Gearbox Software,M
DS,2008.0,Action,Warner Bros. Interactive Entertainment,3.05,72.0,8.0,TT Fusion,E10+
X360,2008.0,Action,Activision,3.04,75.0,7.4,"Luxoflux, Inc.",E10+
X360,2012.0,Role-Playing,Electronic Arts,3.04,93.0,5.8,BioWare,M
PS3,2010.0,Adventure,Sony Computer Entertainment,3.03,87.0,7.7,Quantic Dream,M
X360,2008.0,Action,THQ,3.03,81.0,8.1,Volition Inc.,M
XB,2002.0,Action,Ubisoft,3.02,93.0,8.5,Ubisoft Montreal,T
PS4,2013.0,Sports,Electronic Arts,3.01,87.0,6.3,EA Canada,E
PS3,2009.0,Shooter,Sony Computer Entertainment,3.01,91.0,8.1,Guerrilla,M
X360,2012.0,Shooter,Ubisoft,3.0,91.0,8.6,Ubisoft Montreal,M
Wii,2010.0,Platform,Disney Interactive Studios,3.0,73.0,7.0,Junction Point,E
X360,2012.0,Sports,Take-Two Interactive,3.0,88.0,7.2,Visual Concepts,E
PS2,2007.0,Fighting,Atari,3.0,73.0,9.2,"Spike, Namco Bandai Games",T
PC,2000.0,Misc,Electronic Arts,2.99,82.0,6.6,Maxis,T
PS2,2002.0,Sports,Konami Digital Entertainment,2.99,93.0,9.1,KCET,E
PS2,2001.0,Action,Capcom,2.99,94.0,8.5,Capcom,M
PC,2011.0,Role-Playing,Electronic Arts,2.96,85.0,5.9,"LucasArts, BioWare",T
PS4,2014.0,Action,Warner Bros. Interactive Entertainment,2.96,84.0,8.1,Monolith Productions,M
PS2,2003.0,Platform,Sega,2.96,64.0,7.8,Sonic Team,E
PS2,2002.0,Action,Eidos Interactive,2.96,85.0,7.8,Io Interactive,M
XOne,2014.0,Shooter,Electronic Arts,2.95,86.0,6.4,Respawn Entertainment,M
